symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
HC,1d,51174.76741600011,-13167.581344999955,0.2553191489361702,2.2669382582712885,94,10854.831716,swing_reversal|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|aggressive
RB,1d,51082.21159999998,-9611.450400000009,0.44651162790697674,1.6784402762767578,215,956.949400000004,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2|ex12|mom16|vol24|th0.4|strict
HC,1d,50970.852950000015,-18676.813850000017,0.5263157894736842,1.9998905356913752,76,16878.390800000005,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr10|am3.5|ex16|mom48|vol48|th0.4|signal
RB,1d,50342.896250000005,-9326.141000000003,0.4225352112676056,1.9920073273083625,142,553.5699999999995,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2.5|ex12|mom24|vol24|th0.4|strict
SP,1d,50270.131630000054,-10595.189679999981,0.28125,3.6402701258282244,32,8688.586250000013,swing_reversal|both|1d|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|strict
FG,1d,49948.071,-13104.964799999994,0.43820224719101125,2.022821874140551,89,9750.872899999998,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3.5|ex8|mom48|vol48|th0.4|signal
SP,1d,49903.419470000044,-10590.022189999989,0.29411764705882354,3.4974440809201917,34,9168.586250000013,swing_reversal|both|1d|w3|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|strict
FG,1d,49762.683999999994,-12864.016499999998,0.4444444444444444,2.0029023145015468,90,7979.6725,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3.5|ex8|mom48|vol48|th0.4|signal
SP,1d,49457.0214100001,-8321.001539999983,0.26666666666666666,2.336241196220762,60,4227.32335000003,breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|strict
RB,1d,49328.80179999997,-14472.345200000003,0.44221105527638194,1.6935225428757064,199,2792.127799999992,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2|ex12|mom24|vol24|th0.4|strict
RB,1d,49328.80179999997,-14472.345200000003,0.44221105527638194,1.6935225428757064,199,2792.127799999992,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh48|cd4|atr10|am2|ex12|mom24|vol24|th0.4|strict
SP,1d,48965.890330000075,-11481.001139999971,0.2777777777777778,3.221750840437587,36,7627.125260000012,trend_failure|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|strict
SP,1d,48957.41869000009,-10569.537739999985,0.25806451612903225,2.2479050620219247,62,4227.32335000003,breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|aggressive
HC,1d,48921.78871428573,-11109.126285714281,0.5057471264367817,1.9366319604298905,87,15772.10328571428,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh24|cd4|atr14|am3|ex16|mom48|vol48|th0.4|signal
SA,1d,48717.664400000016,-27603.7182,0.5,2.1325868310773073,36,833.3641999999983,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb24|sl0.015|mh64|cd4|atr10|am3|ex16|mom48|vol48|th0.4|signal
HC,1d,48499.85750000001,-12002.627250000001,0.5185185185185185,1.945300742711332,81,14806.758249999999,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3.5|ex12|mom48|vol48|th0.4|signal
CJ,1d,48234.188362500136,-19075.0,0.14754098360655737,2.09095519507186,61,6333.538150000037,trend_failure|both|1d|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|signal
CJ,1d,48233.43328750014,-19075.0,0.14754098360655737,2.090919485935974,61,6333.538150000037,trend_failure|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|signal
RB,1d,48098.365999999995,-14509.888199999987,0.41935483870967744,1.631790686776812,217,2313.6247999999923,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2|ex12|mom24|vol24|th0.3|strict
SP,1d,47846.13779000006,-10595.189679999981,0.2571428571428571,3.2291589574034965,35,7878.330760000012,swing_reversal|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|strict
HC,1d,47496.08752500013,-15238.190154999946,0.28703703703703703,2.040933742123575,108,10107.478940000015,swing_reversal|both|1d|w2|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|aggressive
HC,1d,47496.08752500013,-15238.190154999946,0.28703703703703703,2.040933742123575,108,10107.478940000015,swing_reversal|both|1d|w2|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|signal
HC,1d,47496.08752500013,-15238.190154999946,0.28703703703703703,2.040933742123575,108,10107.478940000015,swing_reversal|both|1d|w2|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|strict
FG,1d,47396.08285714285,-13480.657285714282,0.44086021505376344,1.922855581192551,93,6622.219428571425,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex8|mom48|vol48|th0.4|signal
RB,1d,47236.29828571425,-13250.533142857137,0.48412698412698413,1.5781352485537978,126,36.302142857132964,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.4|signal
HC,1d,46831.57701800011,-14067.524519999955,0.23529411764705882,2.057978645955842,102,9761.25328800002,swing_reversal|both|1d|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|strict
HC,1d,46831.57701800011,-14067.524519999955,0.23529411764705882,2.057978645955842,102,9761.25328800002,swing_reversal|both|1d|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|signal
