symbol,status,selected_strategy_id,pattern,timeframe,windows,positive_windows,positive_rate,total_test_net_pnl,avg_test_net_pnl,min_window_net_pnl,worst_test_drawdown,avg_test_win_rate,total_test_trades,walk_forward_score,reason,params_json
FG,observe,trend_failure|short|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,trend_failure,15m,4,1,0.25,50.46000000000021,12.615000000000052,-586.36,-1199.3520000000008,0.2857142857142857,14,4763.18629304098,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.5, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.008, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""trend_failure"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""short"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""15m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
SP,observe,trend_failure|short|15m|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,trend_failure,15m,4,1,0.25,-590.298,-147.5745,-830.15,-880.3780000000006,0.3333333333333333,6,4340.132850067722,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.5, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.008, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""trend_failure"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""short"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""15m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
FG,observe,vol_breakout|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,vol_breakout,60m,4,1,0.25,-580.422,-145.1055,-792.1200000000001,-3310.4219999999996,0.4,10,2274.476916464907,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.9, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
C,observe,donchian_atr|both|15m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,donchian_atr,15m,4,0,0.0,-189.342,-47.3355,-94.667,-252.31700000000092,0.0,4,922.2730694206055,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""15m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
CJ,observe,vol_breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.75|strict,vol_breakout,1d,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,648.096375,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.75, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
UR,observe,vol_breakout|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am2|ex16|mom48|vol48|th0.75|strict,vol_breakout,60m,4,1,0.25,1438.5480000000002,359.63700000000006,-3021.924,-3460.3759999999993,0.21739130434782608,23,-7.340153164066805,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.75, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
HC,observe,vol_breakout|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex16|mom48|vol48|th0.75|strict,vol_breakout,15m,4,0,0.0,-1170.908,-292.727,-713.688,-767.4399999999996,0.3333333333333333,9,-1182.1401166666665,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.75, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""15m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
CJ,observe,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,donchian_atr,60m,4,1,0.25,-2168.545,-542.13625,-1543.2325,-3408.970000000001,0.35714285714285715,14,-4235.064550710625,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
RM,observe,vol_breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.75|strict,vol_breakout,1d,4,1,0.25,-3381.2769999999996,-845.3192499999999,-1974.216,-2576.3420000000006,0.2,5,-8027.491289166458,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.75, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
CS,observe,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.75|strict,vol_breakout,1d,4,1,0.25,387.14199999999994,96.78549999999998,0.0,-21471.850000000002,0.5333333333333333,15,-15672.863014029395,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.75, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
SA,observe,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh24|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict,donchian_atr,1d,4,0,0.0,-4490.742,-1122.6855,-3365.944,-3448.714000000001,0.25,4,-16602.784224240837,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.2, ""atr_period"": 20, ""breakout_pct"": 0.001, ""cooldown_bars"": 4, ""exit_lookback"": 24, ""max_hold_bars"": 24, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
C,observe,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh24|cd4|atr14|am3.2|ex32|mom48|vol48|th0.4|strict,donchian_atr,1d,4,2,0.5,-5784.001000000003,-1446.0002500000007,-6856.933,-7830.933000000002,0.3790322580645161,124,-22841.8596677454,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.2, ""atr_period"": 14, ""breakout_pct"": 0.001, ""cooldown_bars"": 4, ""exit_lookback"": 32, ""max_hold_bars"": 24, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
