symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
HC,1d,44007.55368500015,-26224.812854999953,0.29292929292929293,2.0740551912667198,99,10299.721200000027,trend_failure|both|1d|w2|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|signal
HC,1d,44007.55368500015,-26224.812854999953,0.29292929292929293,2.0740551912667198,99,10299.721200000027,trend_failure|both|1d|w2|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|strict
RB,1d,43516.90743500014,-7758.061824999975,0.3561643835616438,2.6830050615219423,73,3021.8013000000738,trend_failure|short|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
RB,1d,43516.90743500014,-7758.061824999975,0.3561643835616438,2.6830050615219423,73,3021.8013000000738,trend_failure|short|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
RB,1d,43516.90743500014,-7758.061824999975,0.3561643835616438,2.6830050615219423,73,3021.8013000000738,trend_failure|short|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
CJ,1d,43206.44017500012,-19075.0,0.15254237288135594,2.029608824366917,59,1622.9475250000287,trend_failure|both|1d|w3|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|signal
CJ,1d,43205.685100000126,-19075.0,0.15254237288135594,2.0295723054078727,59,1622.9475250000287,trend_failure|both|1d|w3|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|signal
HC,1d,43152.02824500012,-18284.229099999946,0.28,1.8233887992088678,125,12781.401550000017,trend_failure|both|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|strict
HC,1d,43152.02824500012,-18284.229099999946,0.28,1.8233887992088678,125,12781.401550000017,trend_failure|both|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|signal
HC,1d,43152.02824500012,-18284.229099999946,0.28,1.8233887992088678,125,12781.401550000017,trend_failure|both|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|aggressive
HC,1d,42686.174014999975,-15386.863730000005,0.34,3.283913364094929,50,10163.283654999994,trend_failure|long|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|strict
HC,1d,42686.174014999975,-15386.863730000005,0.34,3.283913364094929,50,10163.283654999994,trend_failure|long|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|aggressive
HC,1d,42686.174014999975,-15386.863730000005,0.34,3.283913364094929,50,10163.283654999994,trend_failure|long|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|signal
HC,1d,42629.02479300014,-27710.34892499994,0.27184466019417475,1.9711531214316285,103,11208.66710300004,trend_failure|both|1d|w2|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|signal
HC,1d,42629.02479300014,-27710.34892499994,0.27184466019417475,1.9711531214316285,103,11208.66710300004,trend_failure|both|1d|w2|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|strict
HC,1d,42629.02479300014,-27710.34892499994,0.27184466019417475,1.9711531214316285,103,11208.66710300004,trend_failure|both|1d|w2|sw0.004|br0.0015|lb24|sl0.015|mh64|cd4|aggressive
HC,1d,42618.095694499956,-15386.863730000005,0.32075471698113206,3.086263001465128,53,10691.216474500001,trend_failure|long|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|signal
HC,1d,42618.095694499956,-15386.863730000005,0.32075471698113206,3.086263001465128,53,10691.216474500001,trend_failure|long|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|strict
HC,1d,42618.095694499956,-15386.863730000005,0.32075471698113206,3.086263001465128,53,10691.216474500001,trend_failure|long|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|aggressive
SP,1d,42493.216870000084,-12419.580189999986,0.23809523809523808,2.490362590018786,42,7627.125260000012,trend_failure|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|aggressive
SP,1d,42438.28053000008,-11327.843989999987,0.225,2.5792974657660315,40,7878.330760000012,swing_reversal|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|aggressive
HC,1d,41884.65719450011,-17516.98260499996,0.26515151515151514,1.7476226634621617,132,11612.922099500023,trend_failure|both|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
HC,1d,41884.65719450011,-17516.98260499996,0.26515151515151514,1.7476226634621617,132,11612.922099500023,trend_failure|both|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
HC,1d,41884.65719450011,-17516.98260499996,0.26515151515151514,1.7476226634621617,132,11612.922099500023,trend_failure|both|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
