symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
RM,60m,3923.1767000000063,-2074.5588099999986,0.5238095238095238,2.195716322054478,21,361.8639800000017,breakout|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|strict
RM,60m,3923.1767000000063,-2074.5588099999986,0.5238095238095238,2.195716322054478,21,361.8639800000017,breakout|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|signal
UR,15m,1697.655118999998,-2871.0903780000044,0.5238095238095238,1.378828673756816,21,1514.9373100000041,trend_failure|both|15m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
UR,15m,1697.655118999998,-2871.0903780000044,0.5238095238095238,1.378828673756816,21,1514.9373100000041,trend_failure|both|15m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
UR,15m,1697.655118999998,-2871.0903780000044,0.5238095238095238,1.378828673756816,21,1514.9373100000041,trend_failure|both|15m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
RM,15m,1275.8257830000084,-754.0040000000008,0.5238095238095238,1.8130005827811795,21,325.46,trend_failure|both|15m|w2|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|aggressive
RM,15m,1275.8257830000084,-754.0040000000008,0.5238095238095238,1.8130005827811795,21,325.46,trend_failure|both|15m|w2|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|signal
RM,15m,1275.8257830000084,-754.0040000000008,0.5238095238095238,1.8130005827811795,21,325.46,trend_failure|both|15m|w2|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|strict
RB,60m,302.4433000000065,-2574.3956999999955,0.5238095238095238,1.0929692624114278,21,527.217,trend_failure|both|60m|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|aggressive
RB,60m,302.4433000000065,-2574.3956999999955,0.5238095238095238,1.0929692624114278,21,527.217,trend_failure|both|60m|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|strict
RB,60m,302.4433000000065,-2574.3956999999955,0.5238095238095238,1.0929692624114278,21,527.217,trend_failure|both|60m|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|signal
HC,60m,2123.8256040000056,-2416.3431,0.5217391304347826,1.6022668435906728,23,1376.4567040000015,trend_failure|both|60m|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|strict
HC,60m,2123.8256040000056,-2416.3431,0.5217391304347826,1.6022668435906728,23,1376.4567040000015,trend_failure|both|60m|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|aggressive
HC,60m,2123.8256040000056,-2416.3431,0.5217391304347826,1.6022668435906728,23,1376.4567040000015,trend_failure|both|60m|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|signal
RM,60m,2016.2620950000025,-1984.8370000000014,0.5217391304347826,1.5411858821491904,23,29.304035000003132,trend_failure|both|60m|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|strict
RM,60m,2016.2620950000025,-1984.8370000000014,0.5217391304347826,1.5411858821491904,23,29.304035000003132,trend_failure|both|60m|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|signal
RM,60m,2016.2620950000025,-1984.8370000000014,0.5217391304347826,1.5411858821491904,23,29.304035000003132,trend_failure|both|60m|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|aggressive
UR,15m,1870.5525540000117,-3239.339439999995,0.52,1.3555420130219726,25,1351.277310000004,trend_failure|both|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
UR,15m,1870.5525540000117,-3239.339439999995,0.52,1.3555420130219726,25,1351.277310000004,trend_failure|both|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
UR,15m,1870.5525540000117,-3239.339439999995,0.52,1.3555420130219726,25,1351.277310000004,trend_failure|both|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
C,60m,500.8443759999983,-1059.740612999999,0.5185185185185185,1.1943509162653718,27,387.9369200000007,trend_failure|both|60m|w2|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|aggressive
C,60m,500.8443759999983,-1059.740612999999,0.5185185185185185,1.1943509162653718,27,387.9369200000007,trend_failure|both|60m|w2|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|strict
C,60m,500.8443759999983,-1059.740612999999,0.5185185185185185,1.1943509162653718,27,387.9369200000007,trend_failure|both|60m|w2|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|signal
RM,60m,5560.801214000011,-2016.6037484999906,0.5172413793103449,2.157576895789063,29,200.9660920000021,trend_failure|both|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
RM,60m,5560.801214000011,-2016.6037484999906,0.5172413793103449,2.157576895789063,29,200.9660920000021,trend_failure|both|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
RM,60m,5560.801214000011,-2016.6037484999906,0.5172413793103449,2.157576895789063,29,200.9660920000021,trend_failure|both|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
FG,60m,5222.616500000021,-1680.9491099999968,0.5,2.686553070822526,20,1727.930000000002,trend_failure|short|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
FG,60m,5222.616500000021,-1680.9491099999968,0.5,2.686553070822526,20,1727.930000000002,trend_failure|short|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|signal
FG,60m,5222.616500000021,-1680.9491099999968,0.5,2.686553070822526,20,1727.930000000002,trend_failure|short|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|strict
RM,60m,4969.638093500017,-2016.6037484999906,0.5,2.0424459935839243,28,299.22767650000134,trend_failure|both|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|signal
RM,60m,4969.638093500017,-2016.6037484999906,0.5,2.0424459935839243,28,299.22767650000134,trend_failure|both|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
RM,60m,4969.638093500017,-2016.6037484999906,0.5,2.0424459935839243,28,299.22767650000134,trend_failure|both|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|strict
RM,60m,2244.4565770000017,-1217.8533700000007,0.5,1.7216734119763628,22,157.70985850000275,trend_failure|short|60m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|aggressive
RM,60m,2244.4565770000017,-1217.8533700000007,0.5,1.7216734119763628,22,157.70985850000275,trend_failure|short|60m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|strict
RM,60m,2244.4565770000017,-1217.8533700000007,0.5,1.7216734119763628,22,157.70985850000275,trend_failure|short|60m|w2|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|signal
C,60m,1744.9269910000057,-1203.9250299999976,0.5,1.6946066748517774,20,835.0299200000007,trend_failure|both|60m|w2|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|aggressive
