symbol,status,selected_strategy_id,pattern,timeframe,windows,positive_windows,positive_rate,total_test_net_pnl,avg_test_net_pnl,min_window_net_pnl,worst_test_drawdown,avg_test_win_rate,total_test_trades,walk_forward_score,reason,params_json
C,observe,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.3|strict,trend_pullback,30m,4,1,0.25,75.20500000000001,18.801250000000003,-192.364,-204.70999999999913,0.25,2,6839.083053004051,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 96, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 96, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
FG,observe,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.3|strict,trend_pullback,30m,4,1,0.25,236.092,59.023,0.0,-643.8899999999994,0.125,2,5475.910669170854,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
UR,observe,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,trend_pullback,30m,4,1,0.25,-451.346,-112.8365,-343.672,-624.0879999999997,0.25,3,5415.6402800000005,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
FG,observe,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.2|strict,trend_pullback,1d,4,1,0.25,17.406,4.3515,0.0,-782.5939999999991,0.25,1,5376.136040000001,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 20, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 80, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
UR,observe,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,trend_pullback,60m,4,1,0.25,26.311999999999898,6.5779999999999745,-526.5360000000001,-829.8240000000005,0.25,4,4953.78268791751,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 96, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 96, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
RB,observe,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,trend_pullback,30m,4,1,0.25,-152.743,-38.18575,-176.285,-249.64400000000023,0.125,4,4773.517410890279,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
HC,observe,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,trend_pullback,30m,4,1,0.25,-543.5930000000001,-135.89825000000002,-363.43,-543.4300000000003,0.25,4,4596.177915055897,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
HC,observe,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,trend_pullback,60m,4,1,0.25,-423.30500000000006,-105.82625000000002,-266.624,-356.6329999999998,0.25,4,4523.03738374999,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.3, ""vol_lookback"": 24}"
SP,observe,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,trend_pullback,30m,4,1,0.25,-544.9680000000001,-136.24200000000002,-485.064,-755.119999999999,0.25,5,3859.262406853029,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 24, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 64, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
CJ,observe,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,trend_pullback,60m,4,1,0.25,-689.3875,-172.346875,-454.395,-679.625,0.25,3,3404.391230863194,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 96, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""trend_pullback"", ""range_lookback"": 96, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.2, ""vol_lookback"": 24}"
