symbol,window,timeframe,pattern,selected_strategy_id,train_score,train_net_pnl,train_max_drawdown,train_trade_count,test_net_pnl,test_max_drawdown,test_win_rate,test_trade_count,test_start,test_end
UR,2,1d,trend_pullback,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2022-05-05 00:00:00,2023-09-05 00:00:00
UR,3,1d,trend_pullback,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2023-09-06 00:00:00,2025-01-16 00:00:00
UR,4,1d,trend_pullback,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2025-01-17 00:00:00,2026-06-05 00:00:00
FG,1,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2025-11-10 11:15:00,2025-12-26 10:00:00
FG,2,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,3888.666596209404,-186.13799999999998,-363.9359999999997,3,0.0,0.0,0.0,0,2025-12-26 11:15:00,2026-02-24 22:00:00
FG,3,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,6057.773896150516,-128.40599999999998,-602.268,4,-323.90200000000004,-623.8919999999998,0.0,2,2026-02-24 23:00:00,2026-04-15 10:00:00
FG,4,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,2442.9266033623603,-452.308,-1088.1139999999996,6,-322.056,-344.0819999999994,0.0,1,2026-04-15 11:15:00,2026-06-05 23:00:00
FG,1,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2026-02-25 10:00:00,2026-03-20 09:30:00
FG,2,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,2721.742279433677,-406.522,-644.362000000001,3,236.092,-643.8899999999994,0.5,2,2026-03-20 10:00:00,2026-04-15 13:45:00
FG,3,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am3|ex12|mom48|vol24|th0.4|tq0.2|strict,5652.821138258165,513.83,-643.8899999999994,3,0.0,0.0,0.0,0,2026-04-15 14:15:00,2026-05-13 21:30:00
