symbol,status,selected_strategy_id,pattern,timeframe,windows,positive_windows,positive_rate,total_test_net_pnl,avg_test_net_pnl,min_window_net_pnl,worst_test_drawdown,avg_test_win_rate,total_test_trades,walk_forward_score,reason,params_json
RM,observe,vol_breakout|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,vol_breakout,60m,4,2,0.5,1140.62,285.155,-951.6850000000001,-1294.8829999999998,0.3964285714285714,21,11886.161465714285,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.9, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48}"
FG,observe,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,vol_breakout,1d,4,3,0.75,2057.4500000000003,514.3625000000001,-1926.094,-4502.912000000001,0.3611111111111111,15,11649.75322017256,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.9, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48}"
UR,observe,vol_breakout|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am2|ex16|mom48|vol48|th0.9|strict,vol_breakout,60m,4,2,0.5,496.0699999999998,124.01749999999996,-716.6740000000001,-1643.1420000000007,0.3,18,9643.840455839629,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.9, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48}"
RB,observe,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.8|strict,tsmom_vol,30m,4,2,0.5,-903.5049999999999,-225.87624999999997,-905.9199999999998,-1178.6150000000016,0.44285714285714284,17,7996.053790618983,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.002, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""tsmom_vol"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.8, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48}"
C,observe,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol24|th0.8|strict,tsmom_vol,30m,4,1,0.25,-142.762,-35.6905,-159.281,-631.5689999999995,0.40714285714285714,18,7257.287233347253,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.002, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""tsmom_vol"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.8, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 24}"
FG,observe,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.75|strict,vol_breakout,30m,4,1,0.25,889.0600000000001,222.26500000000001,0.0,-773.2859999999982,0.1,5,6916.782922004446,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.75, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48}"
SR,observe,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,donchian_atr,60m,4,1,0.25,996.2349999999999,249.05874999999997,-1076.15,-1557.079999999999,0.41666666666666663,12,6487.42675157745,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 32, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48}"
CS,observe,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol24|th0.8|strict,tsmom_vol,30m,4,1,0.25,-367.179,-91.79475,-182.812,-773.626000000002,0.1875,10,4630.184552110316,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.002, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""tsmom_vol"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.8, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""30m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 24}"
UR,observe,carry_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.8|strict,carry_tsmom,1d,4,1,0.25,82.6760000000001,20.669000000000025,-187.152,-2009.9120000000003,0.20833333333333331,5,4471.941859065035,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.002, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""carry_tsmom"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.8, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48}"
SA,observe,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,donchian_atr,60m,4,2,0.5,-515.2659999999998,-128.81649999999996,-2432.006,-2861.728000000001,0.475,23,4364.12048112471,"walk-forward rejected: requires positive_rate>=75%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48}"
